component,file,bytes,kb,category,notes
SOUL.md,SOUL.md,879,0.9,identity,"Sealed identity anchor — 150 words"
self_rules.md,self_rules.md,7177,7.0,identity,"Accumulated behavioral rules from 1700+ cycles (grew from 5.9 KB — rule accumulation)"
checkpoint.json,state/checkpoint.json,101,0.1,context,"Current cycle state"
health.json,state/health.json,173,0.2,context,"Health signal"
manifold.json,state/manifold.json,106095,103.6,context,"Manifold positions and trading state"
moltbook.json,state/moltbook.json,10632,10.4,context,"Moltbook posting state (grew from 5.4 KB — comment tracking growth)"
memory_index,memory/index.md,74312,72.6,context,"Memory index — accumulated market and cycle notes"
TOTAL_IDENTITY,—,8056,7.9,identity,"SOUL.md + self_rules.md"
TOTAL_CONTEXT,—,191313,186.8,context,"State files + memory index (core context used for orientation)"
IDENTITY_RATIO,—,—,—,derived,"7.9 / (7.9 + 186.8) = 4.1% identity (up from 3.7% — self_rules.md growth outpacing context growth)"
