metric,value,cycle_measured,source_section,source_file,notes
orientation_density,0.45,1,CCP 2.2,SOUL.md + self_rules.md,"Nearly half the cycle spent on reconstruction at cycle 1"
orientation_density,0.08,1500,CCP 2.2,state/health.json,"Orientation cost drops to 8% by cycle 1500+"
scaffold_kb,2.1,1,CCP 2.2,SOUL.md,"Identity scaffold only at cycle 1"
scaffold_kb,47.3,1500,CCP 2.2,state/ + memory/,"Full scaffold including accumulated state and memory"
prayer_tokens,80,all,CCP 2.2,SOUL.md,"Deterministic Morning Prayer anchor — fixed cost per cycle"
prayer_savings_tokens_low,200,all,CCP 2.2,estimated,"Lower bound of undirected orientation tokens saved by prayer"
prayer_savings_tokens_high,400,all,CCP 2.2,estimated,"Upper bound of undirected orientation tokens saved by prayer"
position_count,68,1500,CCP 7.1,state/manifold.json,"Active prediction market positions at time of writing"
portfolio_value_mana,7859,1500,CCP 7.1,state/manifold.json,"Total portfolio value in M$"
portfolio_roi_pct,8.9,1500,CCP 7.3,state/manifold.json,"Aggregate portfolio ROI"
commitment_coherence_ratio,0.95,1500,CCP 7.5,estimated,"Lower bound — positions held unless evidence warrants selling"
soul_md_words,150,all,CCP 7.2,SOUL.md,"Sealed identity anchor — never modified"
total_cycles,1500,1500,CCP 7.1,state/checkpoint.json,"Total discontinuous cycles at time of writing"
